epcpwm,epcpressuresetpoint,load,Line,EPC_Press,ISS_Speed,Slippage,tcc,rpm,CurrentGear,CurrentSpeed
74,101,1.90,180,116,0.00,0.00,0,677,1,0.00
13,101,1.90,134,80,0.00,0.00,0,727,1,0.00
76,101,1.90,185,118,0.00,0.00,0,712,1,0.00
10,101,1.90,130,80,0.00,0.00,0,678,1,0.00
70,101,1.90,173,115,0.00,0.00,0,678,1,0.00
18,101,1.90,126,87,0.00,0.00,0,737,1,0.00
68,101,3.00,169,116,0.00,0.00,0,684,1,0.00
20,103,3.00,136,90,0.00,0.00,0,842,1,0.00
64,103,2.00,180,115,0.00,0.00,0,712,1,0.00
27,102,2.00,134,93,0.00,0.00,0,685,1,0.00
67,102,2.00,185,116,0.00,0.00,0,714,1,0.00
19,102,1.90,137,87,0.00,0.00,0,701,1,0.00
70,101,1.90,190,116,0.00,0.00,0,665,1,0.00
20,101,7.30,143,87,0.00,0.00,0,774,1,0.00
63,107,7.10,189,117,0.00,0.00,0,1089,1,0.00
23,107,7.70,148,95,0.00,0.00,0,1104,1,0.00
59,107,7.80,169,116,0.00,0.00,0,1094,1,0.00
27,107,8.40,156,98,0.00,0.00,0,1127,1,0.00
55,108,8.50,192,115,0.00,0.00,0,1135,1,0.00
28,108,8.40,164,100,0.00,0.00,0,1154,1,0.00
53,108,9.10,184,114,0.00,0.00,0,1160,1,0.00
33,109,11.00,168,104,0.00,0.00,0,1344,1,0.00
47,111,13.20,179,114,0.00,0.00,0,1444,1,0.00
30,113,14.40,174,106,0.00,0.00,0,1557,1,0.00
43,114,15.00,183,115,0.00,0.00,0,1593,1,0.00
29,115,15.20,177,109,0.00,0.00,0,1634,1,0.00
39,115,15.90,185,115,0.00,0.00,0,1670,1,0.00
32,115,17.20,189,112,0.00,0.00,0,1766,1,0.00
33,117,18.40,193,115,0.00,0.00,0,1843,1,0.00
15,128,19.00,185,115,0.00,0.00,0,1910,2,0.00
32,119,19.10,193,118,0.00,0.00,0,1949,1,0.00
6,129,19.00,187,115,0.00,0.00,0,1996,2,3.29
118,50,19.00,196,116,0.00,0.00,0,2041,1,6.64
0,50,19.00,68,35,0.00,0.00,0,2061,1,8.38
0,128,18.90,150,90,0.00,0.00,0,2074,2,7.12
144,50,19.00,173,110,0.00,0.00,0,2085,2,10.95
13,50,18.80,56,30,0.00,0.00,0,2108,2,12.13
65,50,18.70,62,30,0.00,0.00,0,2114,2,15.32
54,50,18.00,60,30,0.00,0.00,0,2127,1,12.85
84,50,16.70,60,30,0.00,0.00,0,2124,1,15.87
0,50,15.70,58,29,0.00,0.00,0,2098,1,18.56
68,50,15.70,63,27,0.00,0.00,0,2097,2,19.01
0,50,15.50,59,29,0.00,0.00,0,2108,2,18.61
6,50,15.70,58,30,0.00,0.00,0,2119,2,18.54
31,115,15.70,184,114,0.00,0.00,0,2111,3,18.98
33,115,15.50,182,112,0.00,0.00,0,2122,3,19.04
36,115,15.60,196,117,0.00,0.00,0,2136,3,18.99
32,115,15.70,182,114,0.00,0.00,0,1870,3,19.03
21,117,17.90,187,116,0.00,0.00,0,1698,3,19.86
18,118,18.20,197,118,0.00,0.00,0,1766,3,20.13
16,117,17.90,190,118,0.00,0.00,0,1796,3,19.83
13,118,18.00,192,118,0.00,0.00,0,1799,3,20.21
21,117,17.90,196,117,0.00,0.00,0,1808,3,20.21
29,117,17.80,193,119,0.00,0.00,0,1808,3,20.91
16,117,18.20,190,115,0.00,0.00,0,1821,3,21.30
22,117,17.80,198,120,0.00,0.00,0,1821,3,20.80
24,117,17.80,196,118,0.00,0.00,0,1818,3,21.92
25,117,17.90,197,117,0.00,0.00,0,1817,3,21.87
27,117,17.30,190,117,0.00,0.00,0,1815,3,21.92
28,116,16.90,184,116,0.00,0.00,0,1799,3,22.02
37,115,15.60,193,116,0.00,0.00,0,1772,3,22.07
36,115,15.50,182,118,0.00,0.00,0,1747,3,22.07
39,115,15.30,181,115,0.00,0.00,0,1733,3,23.07
32,114,14.40,185,112,0.00,0.00,0,1722,3,22.92
40,114,14.00,186,115,0.00,0.00,0,1692,3,22.90
24,113,13.50,185,109,0.00,0.00,0,1682,3,23.14
43,113,13.00,166,110,0.00,0.00,0,1670,3,23.09
44,112,12.50,197,122,0.00,0.00,0,1650,3,22.93
49,112,12.30,189,126,0.00,0.00,0,1635,3,23.07
48,112,12.20,199,124,0.00,0.00,0,1618,3,22.76
43,112,12.30,206,125,0.00,0.00,0,1616,3,22.96
50,110,10.60,186,117,0.00,0.00,0,1619,3,22.94
41,110,10.60,198,116,0.00,0.00,0,1580,3,22.04
50,110,10.60,200,124,0.00,0.00,0,1569,3,22.17
59,110,10.50,173,120,0.00,0.00,0,1558,3,22.08
65,110,10.20,180,128,0.00,0.00,0,1558,3,21.61
43,110,10.20,201,123,0.00,0.00,0,1545,3,22.03
54,109,9.50,192,120,0.00,0.00,0,1536,3,21.77
56,109,9.30,210,124,0.00,0.00,0,1513,3,21.27
59,109,9.20,186,129,0.00,0.00,0,1496,3,20.92
53,108,8.10,216,126,0.00,0.00,0,1473,3,21.09
47,108,8.00,207,124,0.00,0.00,0,1451,3,21.04
72,107,7.40,215,127,0.00,0.00,0,1444,3,19.88
13,106,6.80,164,111,0.00,0.00,0,1420,3,20.16
53,106,6.80,190,119,0.00,0.00,0,1396,3,20.04
54,106,6.70,200,118,0.00,0.00,0,1390,3,19.73
58,106,6.70,204,118,0.00,0.00,0,1386,3,19.22
49,106,6.70,179,120,0.00,0.00,0,1368,3,19.14
45,106,6.70,201,122,0.00,0.00,0,1357,3,16.30
41,108,8.40,189,121,0.00,0.00,0,1339,3,16.73
42,110,10.10,201,118,0.00,0.00,0,1317,3,16.01
57,110,10.50,170,121,0.00,0.00,0,1402,3,15.69
47,110,10.90,174,114,0.00,0.00,0,1458,3,18.43
38,111,11.10,188,113,0.00,0.00,0,1466,3,18.02
34,111,11.30,177,104,0.00,0.00,0,1473,3,14.85
37,112,12.20,182,108,0.00,0.00,0,1491,3,18.08
45,112,12.90,162,111,0.00,0.00,0,1515,3,17.97
43,114,14.20,178,114,0.00,0.00,0,1541,3,17.92
33,115,15.20,197,116,0.00,0.00,0,1608,3,17.76
27,116,16.60,186,117,0.00,0.00,0,1667,3,14.76
20,118,18.30,188,117,0.00,0.00,0,1725,3,17.98
6,119,19.80,190,118,0.00,0.00,0,1798,3,17.99
0,120,21.00,187,118,0.00,0.00,0,1858,3,18.24
0,123,23.00,191,118,0.00,0.00,0,1904,3,18.36
0,125,26.20,200,118,0.00,0.00,0,2005,3,18.48
0,128,28.10,192,120,0.00,0.00,0,2054,3,18.82
0,130,30.40,185,118,0.00,0.00,0,2120,3,19.05
0,132,32.50,201,118,0.00,0.00,0,2156,3,20.05
0,134,34.80,191,118,0.00,0.00,0,2196,3,20.05
0,135,35.90,195,118,0.00,0.00,0,2237,3,21.07
0,132,29.20,205,118,0.00,0.00,0,2244,3,22.02
0,102,2.00,194,117,0.00,0.00,0,1717,3,21.08
66,101,1.90,136,94,0.00,0.00,0,1298,3,19.83
7,101,1.90,142,93,0.00,0.00,0,1212,3,20.98
52,101,1.90,174,112,0.00,0.00,0,1219,3,19.71
67,101,1.90,145,95,0.00,0.00,0,1238,3,19.85
39,102,3.00,160,113,0.00,0.00,0,1222,3,15.39
62,103,3.80,178,111,0.00,0.00,0,1269,3,15.82
39,105,5.20,132,88,0.00,0.00,0,1292,3,12.18
52,106,6.10,134,95,0.00,0.00,0,1325,3,18.17
54,109,10.10,186,124,0.00,0.00,0,1295,3,14.74
41,112,12.40,170,113,0.00,0.00,0,1236,3,10.94
40,113,13.40,175,110,0.00,0.00,0,1506,3,17.86
34,114,14.00,186,111,0.00,0.00,0,1575,3,17.81
34,114,14.30,194,116,0.00,0.00,0,1598,3,17.72
34,114,14.50,179,119,0.00,0.00,0,1619,3,17.61
30,114,14.80,185,113,0.00,0.00,0,1625,3,14.35
31,114,14.80,188,113,0.00,0.00,0,1643,3,14.34
26,114,14.90,182,111,0.00,0.00,0,1644,3,14.43
31,114,14.90,188,113,0.00,0.00,0,1637,3,14.27
31,114,14.90,178,114,0.00,0.00,0,1637,3,17.28
31,114,14.90,174,113,0.00,0.00,0,1646,3,17.28
35,114,14.80,187,115,0.00,0.00,0,1641,3,16.96
30,115,14.80,174,114,0.00,0.00,0,1638,3,13.82
40,114,14.80,174,116,0.00,0.00,0,1644,3,16.69
35,114,14.90,180,114,0.00,0.00,0,1636,3,13.76
34,114,14.80,182,113,0.00,0.00,0,1642,3,16.80
37,114,14.80,185,115,0.00,0.00,0,1639,3,13.78
35,114,14.90,189,113,0.00,0.00,0,1629,3,10.55
36,114,14.80,181,114,0.00,0.00,0,1638,3,12.03
33,114,14.80,190,113,0.00,0.00,0,1632,3,13.93
36,114,14.90,186,115,0.00,0.00,0,1640,3,17.12
34,114,14.70,180,113,0.00,0.00,0,1638,3,14.06
34,114,15.00,183,114,0.00,0.00,0,1644,3,17.21
34,114,14.90,197,114,0.00,0.00,0,1644,3,14.06
34,114,14.70,186,113,0.00,0.00,0,1636,3,14.12
36,114,14.60,180,114,0.00,0.00,0,1628,3,17.28
35,114,14.30,191,114,0.00,0.00,0,1627,3,13.97
35,114,14.20,185,114,0.00,0.00,0,1610,3,17.33
35,113,13.40,186,112,0.00,0.00,0,1603,3,17.01
40,111,11.10,167,112,0.00,0.00,0,1571,3,16.98
40,111,11.00,163,110,0.00,0.00,0,1500,3,13.89
42,111,10.80,187,110,0.00,0.00,0,1458,3,16.99
45,110,10.50,163,110,0.00,0.00,0,1440,3,16.83
45,110,10.60,184,111,0.00,0.00,0,1427,3,16.66
45,110,10.20,164,111,0.00,0.00,0,1416,3,10.28
44,110,10.10,181,111,0.00,0.00,0,1413,3,9.98
47,109,9.70,185,111,0.00,0.00,0,1392,3,8.43
48,109,9.60,183,111,0.00,0.00,0,1386,3,8.43
44,109,9.50,173,109,0.00,0.00,0,1384,3,5.05
45,109,6.20,179,109,0.00,0.00,0,1228,3,4.90
49,106,14.10,179,109,0.00,0.00,0,1604,2,3.39
35,114,18.40,182,107,0.00,0.00,0,1862,2,0.23
46,50,19.40,59,30,0.00,0.00,0,2042,2,9.88
194,50,20.00,132,107,0.00,0.00,0,2071,1,10.52
56,50,21.80,58,30,0.00,0.00,0,2136,1,17.14
87,50,24.20,58,30,0.00,0.00,0,2187,1,12.93
98,50,27.40,67,30,0.00,0.00,0,2276,2,17.83
212,50,27.80,158,102,0.00,0.00,0,2334,2,19.00
0,50,29.30,58,29,0.00,0.00,0,2372,2,20.25
0,132,32.20,196,118,0.00,0.00,0,2395,3,20.11
0,135,35.00,196,118,0.00,0.00,0,2477,3,20.77
0,135,35.90,192,118,0.00,0.00,0,2513,3,22.30
0,139,39.40,205,119,0.00,0.00,0,2414,3,22.18
0,144,44.00,186,120,0.00,0.00,0,2359,3,23.14
0,143,43.90,195,119,0.00,0.00,0,2376,3,24.02
0,139,39.70,202,119,0.00,0.00,0,2353,3,25.15
0,123,23.50,212,119,0.00,0.00,0,2308,3,26.12
0,109,9.90,191,118,0.00,0.00,0,1846,3,25.90
11,109,9.70,194,118,0.00,0.00,0,1618,3,25.86
94,102,2.00,195,130,0.00,0.00,0,1622,3,25.85
28,101,1.90,120,78,0.00,0.00,0,1416,3,24.34
85,101,1.90,139,92,0.00,0.00,0,1352,3,24.98
0,101,1.90,105,51,0.00,0.00,0,1408,3,24.83
36,101,1.90,160,113,0.00,0.00,0,1379,3,24.16
