RPM,Bar,MAP,Temp,TPS,Voltage,MPH,EPCPSI,controlslocked,EPCPWM,Gear,TCC,Fuel,Oil
1407,100.0,46.9,188.6,11.4,12.9,22,57,0,74,3,0,8,69
1407,100.0,46.9,188.6,11.4,12.9,22,57,0,74,3,0,8,69
1407,100.0,46.9,188.6,11.4,12.9,22,39,0,63,3,0,8,67
1403,100.0,46.9,188.6,11.4,12.9,22,39,0,63,3,0,8,67
1403,100.0,46.1,188.6,11.6,12.7,22,39,0,63,3,0,8,67
1403,100.0,46.1,188.6,11.6,12.7,22,39,0,63,3,0,8,67
1403,100.0,46.1,188.6,11.6,12.7,22,35,0,61,3,0,7,69
1409,100.0,47.4,188.4,11.2,12.9,22,35,0,61,3,0,7,69
1409,100.0,47.4,188.4,11.2,12.9,22,35,0,61,3,0,7,69
1409,100.0,47.4,188.4,11.2,12.9,22,35,0,61,3,0,7,69
1409,100.0,47.4,188.4,11.2,12.9,22,50,0,66,3,0,7,67
1418,100.0,47.0,188.5,11.9,12.9,22,50,0,66,3,0,7,67
1418,100.0,47.0,188.5,11.9,12.9,22,50,0,66,3,0,7,67
1418,100.0,47.0,188.5,11.9,12.9,22,50,0,66,3,0,7,67
1418,100.0,47.0,188.5,11.9,12.9,22,35,0,61,3,0,7,64
1417,100.0,46.5,188.6,11.5,12.7,22,35,0,61,3,0,7,64
1417,100.0,46.5,188.6,11.5,12.7,22,35,0,61,3,0,7,64
1417,100.0,46.5,188.6,11.5,12.7,22,35,0,61,3,0,7,64
1417,100.0,46.5,188.6,11.5,12.7,22,35,0,61,3,0,7,64
1414,100.0,46.3,188.6,11.6,12.8,21,46,0,70,3,0,8,68
1414,100.0,46.3,188.6,11.6,12.8,21,46,0,70,3,0,8,68
1414,100.0,46.3,188.6,11.6,12.8,21,46,0,70,3,0,8,68
1414,100.0,46.3,188.6,11.6,12.8,21,46,0,70,3,0,8,68
1407,100.0,47.5,188.6,11.5,12.8,21,31,0,56,3,0,7,62
1407,100.0,47.5,188.6,11.5,12.8,21,31,0,56,3,0,7,62
1407,100.0,47.5,188.6,11.5,12.8,21,31,0,56,3,0,7,62
1407,100.0,47.5,188.6,11.5,12.8,21,31,0,56,3,0,7,62
1405,100.0,47.1,188.6,11.6,12.8,21,76,0,80,3,0,8,67
1405,100.0,47.1,188.6,11.6,12.8,21,76,0,80,3,0,8,67
1405,100.0,47.1,188.6,11.6,12.8,21,76,0,80,3,0,8,67
1405,100.0,47.1,188.6,11.6,12.8,21,76,0,80,3,0,8,67
1405,100.0,46.5,188.6,11.6,12.8,21,60,0,75,3,0,8,67
1405,100.0,46.5,188.6,11.6,12.8,21,60,0,75,3,0,8,67
1405,100.0,46.5,188.6,11.6,12.8,21,60,0,75,3,0,8,67
1405,100.0,46.5,188.6,11.6,12.8,21,60,0,75,3,0,8,67
1408,100.0,48.3,188.6,12.0,12.9,21,45,0,67,3,0,7,68
1408,100.0,48.3,188.6,12.0,12.9,21,45,0,67,3,0,7,68
1408,100.0,48.3,188.6,12.0,12.9,21,45,0,67,3,0,7,68
1408,100.0,48.3,188.6,12.0,12.9,21,45,0,67,3,0,7,68
1433,100.0,50.1,188.6,12.9,12.7,21,42,0,67,3,0,8,68
1433,100.0,50.1,188.6,12.9,12.7,21,42,0,67,3,0,8,68
1433,100.0,50.1,188.6,12.9,12.7,21,42,0,67,3,0,8,68
1433,100.0,50.1,188.6,12.9,12.7,21,42,0,67,3,0,8,68
1456,100.0,50.1,189.2,13.1,12.9,21,30,0,60,3,0,8,69
1456,100.0,50.1,189.2,13.1,12.9,21,30,0,60,3,0,8,69
1456,100.0,50.1,189.2,13.1,12.9,21,30,0,60,3,0,8,69
1456,100.0,50.1,189.2,13.1,12.9,21,30,0,60,3,0,8,69
1485,100.0,52.4,188.7,14.0,12.9,21,71,0,80,3,0,8,70
1485,100.0,52.4,188.7,14.0,12.9,21,71,0,80,3,0,8,70
1485,100.0,52.4,188.7,14.0,12.9,21,71,0,80,3,0,8,70
1485,100.0,52.4,188.7,14.0,12.9,21,71,0,80,3,0,8,70
1520,100.0,52.6,188.6,14.0,12.9,21,55,0,71,3,0,7,72
1520,100.0,52.6,188.6,14.0,12.9,21,55,0,71,3,0,7,72
1520,100.0,52.6,188.6,14.0,12.9,21,55,0,71,3,0,7,72
1520,100.0,52.6,188.6,14.0,12.9,21,55,0,71,3,0,7,72
